,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Source: USCIS, data as of October 22, 2017. Notes:  All data are based on approved petitions during the fiscal year. Petitions approved in a fiscal year may be filed in previous fiscal years.  Per USCIS best practices, units of less than 10 beneficiaries are masked so as to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. The letter H replaces the value in the total column where one could deduce the value of D.  While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different on the petition.  The L-1A nonimmigrant classification refers to intracompany transfers of corporate managers and executives. The L-1B nonimmigrant classification refers to intracompany transfers of employees who possess “specialized knowledge.” The LZ classification refers to “blanket” L petitions and may be used by entities involved in commercial trade or services. While the term “L-1” is used for visa issuance and admission purposes, USCIS uses the “A” and “B” distinctions internally for statistical and other purposes. ",,,,,,,,,,
Employer Tax ID (Last 4 Digits) ,Employer name,Employer Industry,Total Approved Petitions,Employment Type,Class Preference,Approved Petitions by Class Preference,,,,
 , , , ,Initial,L1A,D,,,, 
7871,CURTISS-WRIGHT CONTROLS INC, ,D,Continuing,L1A,D,,,,222377871
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
2700,PROBAT INC, ,D,Initial,L1A,D,,,,222422700
 , , , ,Initial,L1B,D,,,, 
1933,OWENS-ILLINOIS INC,Glass and Glass Product Manufacturing,D,Continuing,L1A,D,,,,222781933
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1B,D,,,, 
8857,ALCATEL-LUCENT USA INC DBA NOKIA,Other Communications Equipment Manufacturing,D,Continuing,L1A,D,,,,223408857
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1B,D,,,, 
9954,SOLVAY USA INC,All Other Basic Organic Chemical Manufacturing,D,Continuing,L1A,D,,,,223539954
 , , , ,Initial,L1B,D,,,, 
8140,AMNEAL PHARMACEUTICALS NEW YORK,Pharmaceutical Preparation Manufacturing,D,Continuing,L1A,D,,,,262478140
 , , , ,Initial,L1A,D,,,, 
8589,JANUS AUTOMATION LLC,Custom Computer Programming Services,D,Continuing,L1B,D,,,,270568589
 , , , ,Initial,L1B,D,,,, 
6367,BYD MOTORS INC,Automobile and Other Motor Vehicle Merchant Wholesalers,D,Continuing,L1B,D,,,,272036367
8920,INTEL MOBILE COMMUNICATIONS INC,Semiconductor and Other Electronic Component Manufacturing,D,Continuing,L1A,D,,,,273618920
 , , , ,Initial,L1A,D,,,, 
9514,SAKTHI AUTOMOTIVE GROUP USA,Motor Vehicle Brake System Manufacturing,D,Continuing,L1A,D,,,,273719514
 , , , ,Initial,L1A,D,,,, 
8972,CRRC SIFANG AMERICA INC, ,D,Initial,L1A,D,,,,331218972
5279,TEAM INDUSTRIAL SVCS, ,D,Continuing,L1A,D,,,,341475279
 , , , ,Initial,L1A,D,,,, 
3108,FORTAS CONSULTING INC, ,D,Continuing,L1A,D,,,,352513108
 , , , ,Initial,L1B,D,,,, 
8065,EFFICIO LLC, ,D,Continuing,L1A,D,,,,352558065
 , , , ,Initial,L1A,D,,,, 
0683,SCHNEIDER ELECTRIC USA INC,"Power, Distribution, and Specialty Transformer Manufacturing",D,Continuing,L1A,D,,,,362440683
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Continuing,LZ,D,,,, 
 , , , ,Initial,L1B,D,,,, 
6868,CB&I LLC,Engineering Services,D,Continuing,L1A,D,,,,363046868
 , , , ,Continuing,L1B,D,,,, 
9979,CAPGEMINI FINANCIAL SVCS USA INC,Custom Computer Programming Services,D,Continuing,L1B,D,,,,366899979
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
7511,DIVERSEY INC, ,D,Continuing,L1A,D,,,,391877511
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1B,D,,,, 
4966,VITERRA USA LLC, ,D,Initial,L1A,D,,,,411754966
 , , , ,Initial,L1B,D,,,, 
5271,ANCHOR DANLY LLC, ,D,Continuing,L1A,D,,,,432075271
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
5615,FLEX FILMS USA INC,Paper Bag and Coated and Treated Paper Manufacturing,D,Continuing,L1A,D,,,,452405615
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1B,D,,,, 
5886,ENERMECH MECHANICAL SERVICES INC, ,D,Continuing,L1A,D,,,,455075886
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
 , , , ,Initial,LZ,D,,,, 
6939,NESTLE REGIONAL GLOBE OFC NA INC,Perishable Prepared Food Manufacturing,D,Continuing,L1A,D,,,,462136939
 , , , ,Continuing,L1B,D,,,, 
7095,TIPTOP OIL & GAS US LLC, ,D,Continuing,L1A,D,,,,462937095
 , , , ,Initial,L1A,D,,,, 
2095,SOLENIS LLC, ,D,Continuing,L1A,D,,,,465612095
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
2445,NATURE FRESH FARMS USA INC,"Greenhouse, Nursery, and Floriculture Production",D,Initial,L1A,D,,,,473252445
 , , , ,Initial,L1B,D,,,, 
5863,RUSSELL INVESTMENTS GROUP LLC,Portfolio Management,D,Continuing,L1A,D,,,,473735863
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Continuing,LZ,D,,,, 
9588,DASSAULT SYSTEMES AMERICAS CORP,Electronic Computer Manufacturing,D,Continuing,L1A,D,,,,510379588
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Continuing,LZ,D,,,, 
4195,JANSSEN RESEARCH & DEVELOPMENT L,Pharmaceutical and Medicine Manufacturing,D,Continuing,L1A,D,,,,510524195
 , , , ,Continuing,L1B,D,,,, 
5703,EAST JAPAN RAILWAY COMPANY EJR, ,D,Continuing,L1B,D,,,,521845703
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
1734,INVENTIV HEALTH INC, ,D,Continuing,L1A,D,,,,522181734
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
7802,LEARNING TREE INTL USA INC, ,D,Continuing,L1B,D,,,,541577802
 , , , ,Initial,L1B,D,,,, 
7187,ROLLS-ROYCE NORTH AMERICA INC,OTHER,D,Continuing,L1B,D,,,,541967187
 , , , ,Initial,L1B,D,,,, 
6789,GLOBALLOGIC INC,Computer Systems Design Services,D,Continuing,L1A,D,,,,541986789
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
5394,INVESCO GROUP SERVICES INC,Portfolio Management,D,Continuing,L1A,D,,,,581995394
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Continuing,LZ,D,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
3765,MAGICAL CRUISE CO LTD DBA DISNEY, ,D,Continuing,L1A,D,,,,593403765
 , , , ,Initial,L1A,D,,,, 
1938,CARPI USA INC, ,D,Continuing,L1B,D,,,,611261938
 , , , ,Initial,L1B,D,,,, 
1139,AVIVA INVESTORS AMERICAS LLC, ,D,Initial,L1A,D,,,,611691139
 , , , ,Initial,L1B,D,,,, 
9110,T D WILLIAMSON INC, ,D,Initial,L1A,D,,,,730399110
 , , , ,Initial,L1B,D,,,, 
3393,TURIMEX LLC, ,D,Continuing,L1A,D,,,,742943393
 , , , ,Initial,L1A,D,,,, 
9960,HYBRIS U S CORP,Computer Systems Design and Related Services,D,Initial,L1B,D,,,,760659960
8669,MARVELL SEMICONDUCTOR INC,Semiconductor and Related Device Manufacturing,D,Continuing,L1A,D,,,,770398669
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1B,D,,,, 
5545,BRISTLECONE INC,Custom Computer Programming Services,D,Continuing,L1A,D,,,,770485545
 , , , ,Initial,L1A,D,,,, 
6438,VIVINT SOLAR DEVELOPER LLC, ,D,Continuing,L1A,D,,,,800756438
 , , , ,Continuing,L1B,D,,,, 
7999,THE LUMINAIRES GROUP USA LLC, ,D,Initial,L1A,D,,,,812607999
 , , , ,Initial,L1B,D,,,, 
9385,STOLT TANKERS USA INC, ,D,Continuing,L1A,D,,,,821129385
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
8852,PLASTICON NORTH AMERICA INC, ,D,Continuing,L1B,D,,,,830468852
 , , , ,Initial,L1B,D,,,, 
6948,ZEDI US INC, ,D,Continuing,L1A,D,,,,841106948
 , , , ,Initial,L1A,D,,,, 
1527,MSR MOBILE STAGE RENTALS LLC, ,D,Initial,L1A,D,,,,861131527
 , , , ,Initial,L1B,D,,,, 
7104,XP SECURITIES LLC,Other Financial Investment Activities,D,Initial,L1A,D,,,,900647104
9887,FAIR ISAAC CORPORATION,Custom Computer Programming Services,D,Continuing,L1A,D,,,,941499887
 , , , ,Continuing,LZ,D,,,, 
 , , , ,Initial,L1B,D,,,, 
8567,ELECTRONIC ARTS INC,Custom Computer Programming Services,D,Continuing,L1A,D,,,,942838567
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1B,D,,,, 
0776,AMGEN INC,Scientific Research and Development Services,D,Continuing,L1A,D,,,,953540776
 , , , ,Continuing,LZ,D,,,, 
 , , , ,Initial,L1A,D,,,, 
1856,INDEGENE INC,Custom Computer Programming Services,D,Continuing,L1A,D,,,,954751856
 , , , ,Initial,L1A,D,,,, 
3254,SKELTON TRUCK LINES INC, ,D,Initial,L1A,D,,,,980083254
 , , , ,Initial,L1B,D,,,, 
9966,EASTERN MAINE RAILWAY COMPANY, ,D,Continuing,L1A,D,,,,980149966
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1B,D,,,, 
3904,DIRTT ENVIRONMENTAL SOLUTIONS IN, ,D,Continuing,L1A,D,,,,980443904
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
9000,SNC-LAVALIN CONSTRUCTORS EASTERN, ,D,Initial,L1A,D,,,,981289000
 , , , ,Initial,L1B,D,,,, 
8234,ANALOG DEVICES INC,Semiconductor and Related Device Manufacturing,D,Continuing,L1A,D,,,,42348234
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
0172,NEW BALANCE ATHLETICS INC,Footwear Manufacturing,D,Continuing,L1A,D,,,,42460172
 , , , ,Initial,L1A,D,,,, 
5240,BOSTON SCIENTIFIC CORP,Surgical and Medical Instrument Manufacturing,D,Continuing,L1A,D,,,,42695240
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Continuing,LZ,D,,,, 
8590,IRON MOUNTAIN INFO MANAGEMENT LL,Other Warehousing and Storage,D,Continuing,L1A,D,,,,43038590
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
0818,KINAXIS CORPORATION, ,D,Continuing,L1A,D,,,,43130818
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
8310,SOPHOS INC,Computer Systems Design and Related Services,D,Continuing,L1A,D,,,,43328310
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1B,D,,,, 
9993,ALSTOM TRANSPORTATION INC,Regulation and Administration of Transportation Programs,D,Continuing,L1A,D,,,,112949993
 , , , ,Initial,L1B,D,,,, 
0327,HAPAG-LLOYD AMERICA LLC, ,D,Continuing,L1A,D,,,,132520327
 , , , ,Initial,L1A,D,,,, 
2204,CABLE & WIRELESS COMMS INC,OTHER,D,Continuing,LZ,D,,,,132922204
 , , , ,Initial,L1A,D,,,, 
0631,AMERIPRISE FINANCIAL INC,Investment Advice,D,Continuing,L1A,D,,,,133180631
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
6776,LEAR CORP,Motor Vehicle Seating and Interior Trim Manufacturing,D,Continuing,L1B,D,,,,133386776
 , , , ,Continuing,LZ,D,,,, 
 , , , ,Initial,L1B,D,,,, 
1788,ZARA USA INC,Family Clothing Stores,D,Continuing,L1A,D,,,,133471788
 , , , ,Continuing,LZ,D,,,, 
3163,CATALENT PHARMA SOLUTIONS INC,OTHER,D,Continuing,L1A,D,,,,133523163
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Continuing,LZ,D,,,, 
3358,COTY INC,"Cosmetics, Beauty Supplies, and Perfume Stores",D,Continuing,L1A,D,,,,133823358
 , , , ,Continuing,LZ,D,,,, 
 , , , ,Initial,L1A,D,,,, 
3456,UBS SECURITIES LLC,Investment Banking and Securities Dealing,D,Continuing,L1A,D,,,,133873456
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1B,D,,,, 
7201,KIK INTERNATIONAL LLC, ,D,Continuing,L1A,D,,,,133897201
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
6524,FLIGHTSAFETY INTERNATIONAL INC,Flight Training,D,Continuing,L1B,D,,,,133916524
 , , , ,Initial,L1B,D,,,, 
7118,DELOITTE SERVICES LP,Administrative Management and General Management Consulting Services,D,Continuing,L1A,D,,,,134147118
 , , , ,Initial,L1B,D,,,, 
5501,S&P GLOBAL MARKET INTELLIGENCE I,Miscellaneous Financial Investment Activities,D,Continuing,L1A,D,,,,134155501
 , , , ,Continuing,L1B,D,,,, 
0183,ORACLE FINANCIAL SVCS SOFTWARE I,Custom Computer Programming Services,D,Continuing,L1A,D,,,,134200183
 , , , ,Initial,L1B,D,,,, 
1247,DEUTSCHE BANK TRUST CO AMERICAS,Investment Banking and Securities Dealing,D,Continuing,L1A,D,,,,134941247
1590,BDO USA LLP,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",D,Continuing,L1A,D,,,,135381590
 , , , ,Initial,L1A,D,,,, 
3032,JOHN WILEY & SONS INC, ,D,Continuing,L1A,D,,,,135593032
 , , , ,Continuing,LZ,D,,,, 
 , , , ,Initial,L1A,D,,,, 
0895,GRAYMONT INC, ,D,Continuing,L1A,D,,,,140560895
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
8713,ANDRITZ INC,Industrial Machinery and Equipment Merchant Wholesalers,D,Continuing,L1A,D,,,,141438713
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1B,D,,,, 
4962,APTOS INC, ,D,Continuing,L1B,D,,,,141624962
 , , , ,Initial,L1B,D,,,, 
4016,ATLANTIC PROJECTS COMPANY INC,Engineering Services,D,Initial,L1B,D,,,,141814016
0412,ARMSTRONG PUMPS INC, ,D,Continuing,L1A,D,,,,160910412
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1B,D,,,, 
1418,BRUNSWICK GROUP LLC,Public Relations Agencies,D,Continuing,L1A,D,,,,201591418
 , , , ,Initial,L1A,D,,,, 
5019,FACEBOOK INC,OTHER,D,Continuing,LZ,D,,,,201665019
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
8995,MORGAN STANLEY FUND SERVICES INC,Investment Banking and Securities Dealing,D,Continuing,L1A,D,,,,201768995
 , , , ,Continuing,L1B,D,,,, 
6195,SERVICENOW INC,Custom Computer Programming Services,D,Continuing,L1B,D,,,,202056195
 , , , ,Initial,L1B,D,,,, 
1383,TREEHOUSE FOODS INC, ,D,Continuing,L1A,D,,,,202311383
 , , , ,Initial,L1A,D,,,, 
9128,MOBIS NORTH AMERICA LLC, ,D,Continuing,L1A,D,,,,202419128
 , , , ,Continuing,LZ,D,,,, 
0422,WORKDAY INC,Computer Systems Design and Related Services,D,Continuing,L1A,D,,,,202480422
 , , , ,Continuing,LZ,D,,,, 
8500,PRICOL TECHNOLOGIES INC,Engineering Services,D,Continuing,L1A,D,,,,202878500
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
6186,MOZILLA CORPORATION,Custom Computer Programming Services,D,Continuing,L1A,D,,,,203226186
0291,INVENTURUS KNOWLEDGE SOLUTIONS I,Administrative Management and General Management Consulting Services,D,Continuing,L1A,D,,,,205570291
 , , , ,Initial,L1A,D,,,, 
2527,AUTOMOTIVE RENTALS INC DBA AUTOM, ,D,Continuing,L1A,D,,,,210622527
 , , , ,Initial,L1A,D,,,, 
0537,BOBST NORTH AMERICA INC, ,D,Continuing,L1A,D,,,,222210537
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1B,D,,,, 
7389,HARRIS STEEL INC, ,D,Continuing,L1A,D,,,,222577389
 , , , ,Continuing,L1B,D,,,, 
0026,RADIANT SYSTEMS INC,Custom Computer Programming Services,D,Continuing,L1A,D,,,,223390026
 , , , ,Initial,L1A,D,,,, 
6104,EPAM SYSTEMS INC,Custom Computer Programming Services,D,Continuing,L1B,D,,,,223536104
 , , , ,Continuing,LZ,D,,,, 
 , , , ,Initial,L1B,D,,,, 
1325,POLARIS CONSULTING & SERVICES LT,Computer Systems Design Services,D,Continuing,L1A,D,,,,223641325
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
7400,BOSCH REXROTH CORPORATION,Fluid Power Cylinder and Actuator Manufacturing,D,Continuing,L1B,D,,,,231687400
 , , , ,Initial,L1B,D,,,, 
5755,ELLIOTT COMPANY,Industrial Machinery Manufacturing,D,Continuing,L1A,D,,,,251555755
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Continuing,LZ,D,,,, 
9727,KARRENA INTL CHIMNEY LLC, ,D,Continuing,L1A,D,,,,260279727
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
1633,MIMECAST NORTH AMERICA INC, ,D,Continuing,L1A,D,,,,260851633
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
 , , , ,Initial,LZ,D,,,, 
6794,BORETS US INC, ,D,Continuing,L1A,D,,,,261626794
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Continuing,LZ,D,,,, 
3088,KUMHO TIRE GEORGIA INC, ,D,Continuing,L1A,D,,,,261953088
 , , , ,Initial,L1A,D,,,, 
8228,PITTSBURGH GLASS WORKS LLC, ,D,Continuing,L1A,D,,,,262998228
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
9231,QUALCOMM INNOVATION CTR INC, ,D,Continuing,L1A,D,,,,264049231
 , , , ,Continuing,L1B,D,,,, 
8944,WINDSOR MACHINE & STAMPING U S L, ,D,Continuing,L1A,D,,,,264198944
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1B,D,,,, 
2188,FIRSTSOURCE GROUP USA INC, ,D,Continuing,L1A,D,,,,271422188
 , , , ,Continuing,LZ,D,,,, 
 , , , ,Initial,L1A,D,,,, 
7800,GLOBAL EAGLE ENTERTAINMENT INC,Motion Picture and Video Production,D,Continuing,L1A,D,,,,274757800
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
2152,RELEX SOLUTIONS INC, ,D,Continuing,L1A,D,,,,300882152
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
2776,TECSYS US INC, ,D,Continuing,L1A,D,,,,311382776
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1B,D,,,, 
5484,JTI US HOLDING INC, ,D,Continuing,L1A,D,,,,320285484
 , , , ,Initial,L1A,D,,,, 
3031,CONDUENT BUSINESS SERVICES LLC, ,D,Continuing,L1A,D,,,,320293031
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Continuing,LZ,D,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
1678,QUEST SOFTWARE INC,OTHER,D,Initial,L1A,D,,,,330231678
 , , , ,Initial,L1B,D,,,, 
6538,KSM CASTINGS USA INC, ,D,Continuing,L1B,D,,,,331226538
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,LZ,D,,,, 
7030,CONTINENTAL TIRE THE AMERICAS LL,Motor Vehicle Parts Manufacturing,D,Continuing,L1A,D,,,,341417030
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1B,D,,,, 
8190,WM WRIGLEY JR COMPANY,Confectionery Merchant Wholesalers,D,Continuing,L1A,D,,,,361988190
8817,DANIEL J EDELMAN INC,Public Relations Agencies,D,Continuing,L1A,D,,,,362368817
1497,HOOD PACKAGING CORPORATION, ,D,Continuing,L1A,D,,,,362891497
 , , , ,Initial,L1A,D,,,, 
2817,ON SEMICONDUCTOR, ,D,Continuing,L1B,D,,,,364292817
 , , , ,Continuing,LZ,D,,,, 
 , , , ,Initial,L1B,D,,,, 
2642,FMC TECHNOLOGIES INC,Oil and Gas Field Machinery and Equipment Manufacturing,D,Continuing,L1A,D,,,,364412642
 , , , ,Continuing,L1B,D,,,, 
1308,BRP US INC, ,D,Continuing,L1A,D,,,,371341308
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
9658,POLYCOR INC, ,D,Continuing,L1B,D,,,,371789658
 , , , ,Initial,L1B,D,,,, 
1704,DST HEALTH SOLUTIONS LLC,All Other Miscellaneous Ambulatory Health Care Services,D,Continuing,L1B,D,,,,383101704
 , , , ,Initial,L1B,D,,,, 
9159,TOYODA GOSEI NORTH AMERICA INC, ,D,Continuing,L1A,D,,,,383629159
 , , , ,Continuing,L1B,D,,,, 
9415,POYRY APPLETON LLC, ,D,Continuing,L1B,D,,,,391909415
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
9245,UNITED HEALTHCARE SERVICES INC,Direct Health and Medical Insurance Carriers,D,Continuing,L1A,D,,,,411289245
 , , , ,Continuing,LZ,D,,,, 
1333,LEARNINGMATE SOLUTIONS INC,Custom Computer Programming Services,D,Continuing,L1A,D,,,,421771333
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
8641,REFTECH INTERNATIONAL CORP, ,D,Initial,L1A,D,,,,421778641
 , , , ,Initial,L1B,D,,,, 
4379,TAAL TECHNOLOGIES INC,Engineering Services,D,Initial,L1A,D,,,,452174379
 , , , ,Initial,L1B,D,,,, 
7778,POLYPLEX USA LLC, ,D,Continuing,L1A,D,,,,452777778
 , , , ,Continuing,L1B,D,,,, 
3734,AIRGAS USA LLC, ,D,Continuing,L1A,D,,,,453153734
 , , , ,Continuing,L1B,D,,,, 
4305,DTS AMERICA CORPORATION,Computer Systems Design and Related Services,D,Continuing,L1A,D,,,,453814305
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
1560,MONDI BAGS USA LLC, ,D,Continuing,L1A,D,,,,453951560
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1B,D,,,, 
1323,SODECIA USA AUTOMOTIVE CORP,Motor Vehicle Metal Stamping,D,Continuing,L1A,D,,,,460471323
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
 , , , ,Initial,LZ,D,,,, 
9951,CHEETAH MOBILE AMERICA INC,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,D,Continuing,L1A,D,,,,461669951
 , , , ,Initial,L1A,D,,,, 
7621,GLOBAL ENERGY INTERCONNECTION RE, ,D,Initial,L1A,D,,,,464287621
 , , , ,Initial,L1B,D,,,, 
2068,KIEWIT OFFSHORE SERVICES LTD,Oil and Gas Pipeline and Related Structures Construction,D,Continuing,L1A,D,,,,470822068
 , , , ,Initial,L1A,D,,,, 
5477,EMIDS TECHNOLOGIES PVT LTD CORP, ,D,Continuing,L1A,D,,,,470945477
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
0040,CARAVELS LLC DBA GEORGIA TRANSFO, ,D,Continuing,L1A,D,,,,472330040
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
 , , , ,Initial,LZ,D,,,, 
9466,BOSLAN ENGINEERING LTD, ,D,Continuing,L1A,D,,,,474079466
 , , , ,Initial,L1A,D,,,, 
4148,SINOPEC AMERICA INC, ,D,Continuing,L1A,D,,,,474184148
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
9221,WOOSHIN NORTH AMERICA LLC, ,D,Continuing,L1A,D,,,,474359221
 , , , ,Continuing,L1B,D,,,, 
4644,UNITED OVERSEAS HOLDINGS INC, ,D,Continuing,L1A,D,,,,474914644
6846,CAVENDISH FARMS INC, ,D,Continuing,L1A,D,,,,510326846
8062,IPEX USA LLC, ,D,Continuing,L1A,D,,,,510368062
 , , , ,Initial,L1A,D,,,, 
3125,SUNCOR ENERGY USA INC, ,D,Continuing,L1B,D,,,,510403125
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
6223,INFINITE COMPUTER SOLUTIONS INC,Other Computer Related Services,D,Continuing,L1A,D,,,,510406223
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
3083,TATA ELXSI LTD,Custom Computer Programming Services,D,Continuing,L1A,D,,,,522103083
 , , , ,Continuing,LZ,D,,,, 
0626,MICROLAND LIMITED,Other Computer Related Services,D,Continuing,L1A,D,,,,522130626
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
5628,NAGARRO INC,Custom Computer Programming Services,D,Continuing,L1A,D,,,,522195628
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
1148,RM AUCTIONS INC, ,D,Continuing,L1A,D,,,,522241148
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1B,D,,,, 
8525,SASKEN COMMUNICATION TECHNOLOGIE,Scientific Research and Development Services,D,Continuing,L1B,D,,,,522268525
 , , , ,Initial,L1B,D,,,, 
5356,SPIN MASTER INC, ,D,Continuing,L1A,D,,,,522275356
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
6629,CLARIANT CORPORATION,Synthetic Dye and Pigment Manufacturing,D,Continuing,L1A,D,,,,561356629
 , , , ,Initial,L1A,D,,,, 
6236,SYNOPSYS INC,Computer Systems Design Services,D,Continuing,L1A,D,,,,561546236
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Continuing,LZ,D,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
7004,FUNCOM INC, ,D,Continuing,L1B,D,,,,562217004
 , , , ,Initial,L1A,D,,,, 
5877,BIESSE AMERICA INC, ,D,Continuing,L1B,D,,,,581835877
 , , , ,Initial,L1B,D,,,, 
2112,NRS MEDIA LLC, ,D,Initial,L1A,D,,,,582522112
 , , , ,Initial,L1B,D,,,, 
9105,MAVENIR SYSTEMS INC, ,D,Continuing,L1A,D,,,,611489105
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Continuing,LZ,D,,,, 
6453,MB TECHNOLOGY NA LLC, ,D,Continuing,L1A,D,,,,621806453
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
5482,SENTRY ELECTRICAL GROUP INC, ,D,Initial,L1A,D,,,,651285482
 , , , ,Initial,L1B,D,,,, 
2527,GUAM ADVANCE ENTERPRISES INC, ,D,Initial,L1A,D,,,,660472527
9540,CIRCLE K STORES INC,Convenience Stores,D,Continuing,L1A,D,,,,741149540
 , , , ,Initial,L1A,D,,,, 
7474,SEMES AMERICA INC, ,D,Continuing,L1A,D,,,,742887474
 , , , ,Continuing,L1B,D,,,, 
 , , , ,Initial,L1A,D,,,, 
 , , , ,Initial,L1B,D,,,, 
5727,WESTJET AN ALBERTA PARTNERSHIP, ,D,Continuing,L1B,D,,,,743035727
